Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
55.00,29,231,128,0.9855,91.9,Warning_Throttled
55.96,29,231,128,0.9855,91.8,Warning_Throttled
57.02,29,232,128,0.9855,91.7,Warning_Throttled
58.07,29,231,128,0.9855,91.6,Warning_Throttled
59.03,31,231,128,0.9845,91.3,Warning_Throttled
60.06,31,39,255,0.9845,90.8,Healthy
61.02,31,39,255,0.9845,90.4,Healthy
62.03,31,39,255,0.9845,90.1,Healthy
63.02,33,39,255,0.9835,89.4,Healthy
64.02,33,8,255,0.9835,87.6,Healthy
65.02,34,8,255,0.9830,85.9,Healthy
66.05,34,41,255,0.9830,85.7,Healthy
67.03,34,41,255,0.9830,85.5,Healthy
68.02,34,41,255,0.9830,85.3,Healthy
69.01,34,41,255,0.9830,85.1,Healthy
70.04,34,41,255,0.9830,85.0,Healthy
71.01,34,41,255,0.9830,84.9,Healthy
72.06,34,41,255,0.9830,84.8,Healthy
73.04,34,41,255,0.9830,84.7,Healthy
74.04,34,41,255,0.9830,84.7,Healthy
75.01,34,41,255,0.9830,84.6,Healthy
76.01,34,41,255,0.9830,84.6,Healthy
77.05,34,41,255,0.9830,84.5,Healthy
78.03,34,41,255,0.9830,84.5,Healthy
79.01,34,41,255,0.9830,84.5,Healthy
80.04,34,41,255,0.9830,84.5,Healthy
81.01,34,41,255,0.9830,84.4,Healthy
82.01,34,41,255,0.9830,84.4,Healthy
83.01,36,41,255,0.9820,84.0,Healthy
84.04,36,100,255,0.9820,83.9,Healthy
85.02,36,100,255,0.9820,83.7,Healthy
86.01,36,100,255,0.9820,83.6,Healthy
87.01,36,100,255,0.9820,83.5,Healthy
88.00,36,100,255,0.9820,83.4,Healthy
89.00,36,100,255,0.9820,83.4,Healthy
90.03,36,100,255,0.9820,83.3,Healthy
91.00,36,100,255,0.9820,83.3,Healthy
92.03,36,100,255,0.9820,83.2,Healthy
93.00,37,100,255,0.9815,83.0,Healthy
94.03,37,114,255,0.9815,82.8,Healthy
95.04,37,114,255,0.9815,82.7,Healthy
96.00,37,114,255,0.9815,82.5,Healthy
97.00,37,114,255,0.9815,82.4,Healthy
98.02,37,114,255,0.9815,82.4,Healthy
99.00,37,114,255,0.9815,82.3,Healthy
100.00,37,114,255,0.9815,82.2,Healthy
101.01,37,114,255,0.9815,82.2,Healthy
102.04,37,114,255,0.9815,82.1,Healthy
103.01,37,114,255,0.9815,82.1,Healthy
104.03,38,114,255,0.9810,81.8,Healthy
105.02,39,118,255,0.9805,81.5,Healthy
106.01,39,126,255,0.9805,81.2,Healthy
107.00,39,126,255,0.9805,81.0,Healthy
108.03,39,126,255,0.9805,80.8,Healthy
109.00,39,126,255,0.9805,80.6,Healthy
110.00,39,126,255,0.9805,80.5,Healthy
111.02,39,126,255,0.9805,80.3,Healthy
112.00,39,126,255,0.9805,80.2,Healthy
113.02,39,126,255,0.9805,80.2,Healthy
114.01,39,126,255,0.9805,80.1,Healthy
115.10,39,126,255,0.9805,80.0,Healthy
116.07,39,126,255,0.9805,80.0,Healthy
117.09,39,126,255,0.9805,79.9,Healthy
118.07,40,126,255,0.9800,79.7,Healthy
119.07,41,135,255,0.9795,79.3,Healthy
120.07,42,138,255,0.9790,78.9,Healthy
121.07,42,133,255,0.9790,78.5,Healthy
122.07,42,133,255,0.9790,78.2,Healthy
123.07,42,133,255,0.9790,77.9,Healthy
124.09,42,133,255,0.9790,77.6,Healthy
125.12,42,133,255,0.9790,77.4,Healthy
126.11,42,133,255,0.9790,77.3,Healthy
127.11,42,133,255,0.9790,77.1,Healthy
128.10,42,133,255,0.9790,77.0,Healthy
129.09,42,133,255,0.9790,76.9,Healthy
130.11,42,133,255,0.9790,76.8,Healthy
131.07,42,133,255,0.9790,76.7,Healthy
132.08,42,133,255,0.9790,76.7,Healthy
133.08,42,133,255,0.9790,76.6,Healthy
134.10,42,133,255,0.9790,76.6,Healthy
135.10,42,133,255,0.9790,76.5,Healthy
136.11,42,133,255,0.9790,76.5,Healthy
137.12,42,133,255,0.9790,76.5,Healthy
138.07,42,133,255,0.9790,76.4,Healthy
139.08,42,133,255,0.9790,76.4,Healthy
140.10,44,133,255,0.9780,76.1,Healthy
